"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Urban population growth (annual %)","SP.URB.GROW","3.11793109529523","2.20965751001928","1.37986767582579","0.799403834717759","0.565139754973623","0.544772577858854","0.586270642979767","0.555661147787928","0.539066586547957","0.549627941058115","0.543279112160929","0.606850583638088","0.639530320613433","0.642030355846162","0.442080130541539","0.182809439479225","-0.150140376790755","-0.392734918149811","-0.466737634045472","-0.234188282178461","0.164978425250874","0.748870345963056","1.24548380077705","1.35458192426163","0.98666747994594","0.271131034028871","-0.638011071078139","-1.33331055584405","-1.25698399498588","-0.107364218990278","1.78411971877619","3.8700345291907","4.83110316977228","5.24460474635475","4.79514163587432","3.77982595793942","2.67004930111156","1.81773926891162","1.25641372375288","1.09550075019494","1.18263237130859","1.41302121757747","1.4345595310351","1.31036043903253","0.951477683657806","0.491302714501917","-0.0178233263254496","-0.435428914884284","-0.69840056617148","-0.730549349288235","-0.623934621173475","0.100456629452575","0.550714816075563","0.66950399359219","0.705351442919869","0.68040372695108","0.655928958860132","0.653848906639225",
"Afghanistan","AFG","Urban population growth (annual %)","SP.URB.GROW","5.14421228926417","5.18976503320363","5.24216808629993","5.28018979708565","5.33667451429252","5.36894723367733","5.39744447461027","5.38693180406609","5.44858774256675","5.54848994722255","5.68401018469712","5.78297450092701","5.81340296531433","5.74056290330967","5.56338272677974","5.30010541702593","5.09123062609544","4.85333724703621","4.38687544816415","3.60384273898986","3.07923636502051","2.00512525553543","1.11247743026994","0.572054871996048","0.622466263725547","1.16710855647606","1.80765723626353","2.48777542063941","3.64260894708898","2.45807276181518","4.34650744080449","6.32014888566742","7.7430898548752","8.08132666728678","7.3143804451711","5.98966958681959","4.55849564258314","3.50492898301834","3.00239474616836","3.23546792030501","3.91222845961752","4.66283822436107","5.13467454246197","5.23045853493535","5.12439301939892","4.76864699745982","4.12318810893938","3.65048521215157","3.40418878230817","3.45709878982243","3.69700166339713","3.9800910009913","4.15406226501529","4.19297967082464","4.05738943212628","3.81792013206761","3.56024553811413","3.40585196626164",
"Angola","AGO","Urban population growth (annual %)","SP.URB.GROW","5.06762413492145","5.3473755013961","5.63661893893865","5.61091910235481","5.53593789589058","5.42084011539885","5.32225592876288","5.25943660631056","5.26970815397382","5.35885035642607","5.53893127057969","6.61637341085901","7.52103185700027","7.61387188657935","7.6871958833724","7.70887657685281","7.72146847123203","7.70762657500063","7.75737370327033","7.84257421117824","7.94129670569362","8.04350478055943","8.10304817819785","8.02442255918713","7.79652601659745","7.46334508349618","7.11003018910767","6.81761195357292","6.65750330599102","6.6464626167477","6.74708077860076","6.88345739925393","6.96363130139519","6.91263398157289","6.73652186241674","5.72551312689667","5.48515180460108","5.29908450019626","5.23050829521985","5.29006234170207","5.43749411195487","5.58771954469661","5.700132371906","5.75812711249289","5.75341449589518","5.69279689639696","4.92121716791636","4.89452921162696","4.87255501626695","4.84885059340929","4.83087746727103","4.80882214305889","4.77465657614615","4.72272270014104","4.65432396491789","4.56136055386134","4.46950330421804","4.38338708089153",
"Albania","ALB","Urban population growth (annual %)","SP.URB.GROW","5.39154054003677","3.89300966533454","3.28920702183149","3.18226453059251","3.11206814397195","2.98482801343999","2.86494544353281","2.85992943694977","3.07174575108209","3.2198483846198","3.157619134267","3.02918729883486","3.10065873703123","2.96457346625943","2.89871134975155","2.90212612132669","2.80568876125005","2.81002499777185","2.66911436179038","2.58227599369944","2.82702034974263","2.77592616479635","2.88327330682815","2.89083719272096","2.86797195840095","2.81704649291852","2.69139105856439","2.75514115529854","2.63915255793554","3.43737787908247","2.54304254474964","0.141060581773093","0.878430429802018","0.855534960140529","0.843725669639771","0.824171260000091","0.812476342196282","0.788237294994372","0.774515178812666","0.755983737416337","0.742478629285177","0.710442617598151","2.18120890441126","2.06027418181457","1.97179893742068","1.82642935665107","1.66222789724062","1.49221506952818","1.43512421072918","1.47328791317413","1.60937326447224","1.78778378467889","1.84837893643447","1.74363937043308","1.64611599636276","1.48476433256912","1.54401448032371","1.54128496391169",
"Andorra","AND","Urban population growth (annual %)","SP.URB.GROW","10.4524590672375","11.1769326790032","10.6796855291244","10.2886677022773","9.72339762400711","9.22918574563036","8.75086895991029","8.28541946035988","7.88405277084811","7.56788904846507","7.32860261503933","7.15865516190759","6.92607525493625","6.54839024350535","6.00415536559794","5.34349534081171","4.71696157635717","4.24883994921173","3.97075326243893","4.12167871969291","4.40521216948452","4.69169197877517","4.93647117290464","5.04026049063216","4.9964748481254","4.87654242478563","4.38174330251113","3.92710201561135","3.84548253242448","3.75131000467452","3.68735367537618","3.69630854322137","3.62036294091787","3.24843042609427","2.52450447933696","1.61149715757449","0.541979630872156","-0.313156134253766","-0.560459871855226","0.0737920774088911","1.27931383487801","2.57186909250154","3.49205351666753","3.8999604065606","3.59758965540803","2.86777916671802","2.12734069987416","1.51047700848522","1.07353387841034","0.61040546954255","-0.119916872015462","-0.934936757454164","-1.69647410465895","-2.11923330970293","-2.06373458145823","-1.647673385083","-1.05310191454675","-0.520421038740275",
"Arab World","ARB","Urban population growth (annual %)","SP.URB.GROW","","5.19902416672049","5.16793256783363","5.20455517916045","5.26285666925284","5.35672910949872","5.20803688802178","4.86833947741643","4.86852926278829","4.83091577328092","4.78648739916842","4.65909655712142","4.65086866867188","4.61973116865337","4.50848830795702","4.52738867594896","4.56993692343156","4.54975500819171","4.56282208554212","4.54160280759585","4.54182037335387","4.51498865881916","4.45972636900412","4.46186542415496","4.48945450445673","4.37245044442702","4.28809449567333","4.07259841080408","3.83034966183237","3.64633737631954","4.78815334657676","3.47599402751717","1.78624564411601","3.3825178314205","3.04397295577562","4.03088340016058","2.60438222823205","2.59710724580154","2.58740550577119","2.58802968539288","2.59956290397821","2.62908110837314","2.63856041855261","2.71038136366461","2.80567450264951","2.99318142986287","3.1275864861485","2.97664471701474","3.27485367232727","3.25086424418369","3.19503117179676","2.99140287896735","2.85373877243671","2.78289394614211","2.69632238453255","2.71835794039687","2.60392440008954","2.50849732444325",
"United Arab Emirates","ARE","Urban population growth (annual %)","SP.URB.GROW","8.15652263575963","9.91801309826561","11.8372518501996","12.1294011542847","10.9043010750163","9.23666955269043","7.51745594263448","6.89759387828088","7.97218275816207","10.6688051414954","14.4470554249543","16.8818751430475","17.68953580794","17.6955236985514","17.125442571746","16.2121001615855","15.5797980732406","14.7838949942321","13.2864753544613","11.3212369159793","9.31400856453253","7.22873795165155","5.67452136836956","4.9292556287116","4.81315492119301","5.08043702396166","5.44519817182738","5.65908675719701","5.73670014059931","5.69452581761285","5.5774235961628","5.55410498188974","5.56557723468753","5.44072402213068","5.16150835959271","4.84140404367125","5.09159598472725","5.46059701003858","5.54537770266963","5.69352161180754","5.96299109169491","5.80235951525058","5.81424181683373","6.97583331853929","9.33223038547437","11.8328743224643","13.9787367199831","14.6894932703555","13.5989426113712","11.0402617404553","7.99822816079276","5.14249689134462","2.98019802966988","1.55515586512934","1.07735145940594","1.26521613500815","1.59083982393591","1.72702091017569",
"Argentina","ARG","Urban population growth (annual %)","SP.URB.GROW","2.68105176743018","2.42676637719918","2.32264606750133","2.27983406180105","2.23211910300166","2.17936803834042","2.12683130762282","2.08163615905332","2.07257890039637","2.10188660531385","2.16105829230391","2.18513225276042","2.2255197521373","2.24099934896101","2.20436544965091","2.1317066584698","2.05040913035323","1.9816462474263","1.94278628444918","1.93821585130776","1.95911810251365","2.05717709496752","2.100302841275","2.09463263769099","2.07613871405065","2.04319418980132","2.00726610045193","1.97391358411338","1.93946724815505","1.90101339031011","1.86199342328387","1.80295190556708","1.6246967703068","1.58473490370084","1.53924292201957","1.48740346818989","1.43563268393153","1.3866814814951","1.35104469893667","1.33254066010441","1.32424764356484","1.32069860257144","1.31138869194297","1.29884938467758","1.28242811506923","1.26054925427401","1.23806672781997","1.2182996943617","1.20721901988038","1.2050597401924","1.20910427486723","1.19994138336644","1.19424626799207","1.18764912603333","1.17288701635992","1.14765139842994","1.1201643927313","1.09452348414881",
"Armenia","ARM","Urban population growth (annual %)","SP.URB.GROW","5.31761441175437","5.21800914139135","5.10270180471983","4.95777756086965","4.79347188746963","4.6104376431911","4.42066945805633","4.24191676093907","4.09504310301751","3.98558380570725","3.87435859183938","3.76647370858907","3.6877872461898","3.58463739250277","3.46028935663041","3.07027597975116","2.93732519578619","2.81175252243048","2.70338979106522","2.34988546682288","1.96736907005719","1.86336827912502","1.75134643046353","1.70883730771466","1.75232481750783","1.82952827537046","1.98080678715414","2.04830627659129","1.81865179520105","0.880154296378253","-0.350260709915677","-1.33736459641733","-2.20331756038932","-2.75006450082369","-2.80262844427349","-2.45571836741628","-1.95741282215176","-1.53697765032764","-1.20723030824603","-1.06330022841457","-1.0645509789012","-1.05421290205663","-0.782520199192839","-0.686031672287109","-0.725840624618948","-0.803361124186888","-0.921258934106239","-1.0205033619889","-1.00584350604332","-0.834740483723228","-0.548519556699365","-0.217892192595373","0.0622406659096911","0.281027190997132","0.355997240929754","0.325719357451013","0.264518401599218","0.225757316460247",
"American Samoa","ASM","Urban population growth (annual %)","SP.URB.GROW","2.05862713716416","2.98130097619615","3.67468991877988","4.18974592119139","4.2875541667892","4.16726964005681","3.95867869678987","3.81367346392544","3.60694838180295","3.35794386112116","3.09278476557476","2.82807731149469","2.60247948522734","2.36807011888468","2.16731910905566","2.0290348373735","1.82106057317694","1.73057470975924","1.84998322234155","2.32628961385595","3.0640838208579","4.09728639679033","4.58035976938029","4.91303457717832","5.01727913292214","4.88901200086977","4.81111106034794","4.67669975596265","4.47342173378401","4.205360104497","3.96998698466845","3.95479402699974","3.58535985393594","3.28463895080567","3.10251695256958","2.97145167997727","2.87707847196174","2.70226381470504","2.53099418656294","2.2987658951247","1.8299714532055","1.02308674803854","0.84143830274913","0.545557186155382","0.135925510785929","-0.358399279690934","-0.908439633832157","-1.39502208663665","-1.63420131008327","-1.53553494541017","-1.17091623791253","-0.67736848077049","-0.256495258941762","0.0579758174264564","0.165460223891185","0.121851748366252","0.0660270322140826","0.0433065595582816",
